factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
24,50,103,SB-416,D572-40297-203,D200614270,20,1,0.657,0.657,0.657,0.515,0.515,0.515,0.142,0.142,0.142,2022-04-26 01:25:39,2022-04-26 02:22:08,0.941
24,50,103,SB-416,D572-40298-201,D200584640,20,1,0.877,0.877,0.877,0.414,0.414,0.414,0.463,0.463,0.463,2022-04-26 04:47:56,2022-04-26 05:48:38,1.012
24,50,103,SB-416,D572-40298-201,D200584630,20,1,0.525,0.525,0.525,0.439,0.439,0.439,0.086,0.086,0.086,2022-04-26 03:26:47,2022-04-26 04:09:10,0.706
24,50,103,SB-416,D572-40298-201,D200584620,20,1,0.541,0.541,0.541,0.454,0.454,0.454,0.086,0.086,0.086,2022-04-26 06:33:40,2022-04-26 07:12:54,0.654
24,50,103,SB-416,D572-40298-201,D200584610,20,1,0.616,0.616,0.616,0.462,0.462,0.462,0.154,0.154,0.154,2022-04-26 05:48:48,2022-04-26 06:33:32,0.746
24,50,103,SB-416,D572-40297-203,D200614310,20,1,0.703,0.703,0.703,0.55,0.55,0.55,0.153,0.153,0.153,2022-04-25 14:19:10,2022-04-25 15:28:37,1.158
24,50,103,SB-416,D572-40297-203,D200614300,20,1,0.634,0.634,0.634,0.549,0.549,0.549,0.085,0.085,0.085,2022-04-25 15:28:44,2022-04-25 16:15:12,0.774
24,50,103,SB-416,D572-40297-203,D200614290,20,1,0.79,0.79,0.79,0.513,0.513,0.513,0.277,0.277,0.277,2022-04-25 16:57:46,2022-04-25 18:24:36,1.447
24,50,103,SB-416,D572-40297-203,D200614280,20,1,1.903,1.903,1.903,0.465,0.465,0.465,1.438,1.438,1.438,2022-04-25 23:19:43,2022-04-26 01:25:30,2.096
24,50,103,SB-416,D572-40298-201,D200584650,20,1,0.537,0.537,0.537,0.446,0.446,0.446,0.091,0.091,0.091,2022-04-26 04:09:18,2022-04-26 04:47:48,0.642
24,50,103,SB-416,D572-40298-201,D200584660,20,1,0.596,0.596,0.596,0.457,0.457,0.457,0.139,0.139,0.139,2022-04-26 02:22:16,2022-04-26 03:26:40,1.073
24,50,103,SB-416,D572-40297-203,D200614240,20,1,0.553,0.553,0.553,0.495,0.495,0.495,0.058,0.058,0.058,2022-04-25 16:15:20,2022-04-25 16:56:55,0.693
24,50,103,SB-416,D572-40297-203,D200589230,20,1,0.786,0.786,0.786,0.482,0.482,0.482,0.304,0.304,0.304,2022-04-25 20:31:53,2022-04-25 21:27:21,0.924
24,50,103,SB-416,D572-40297-203,D200589220,20,1,0.576,0.576,0.576,0.474,0.474,0.474,0.102,0.102,0.102,2022-04-25 22:30:38,2022-04-25 23:19:31,0.815
24,50,103,SB-416,D572-40292-203,D200615860,20,1,0.668,0.668,0.668,0.534,0.534,0.534,0.134,0.134,0.134,2022-04-25 09:12:09,2022-04-25 10:27:54,1.262
24,50,103,SB-416,D572-40292-203,D200615850,20,1,0.564,0.564,0.564,0.526,0.526,0.526,0.038,0.038,0.038,2022-04-25 10:28:01,2022-04-25 11:11:54,0.731
24,50,103,SB-416,D572-40292-203,D200615840,20,1,0.573,0.573,0.573,0.53,0.53,0.53,0.043,0.043,0.043,2022-04-25 11:12:11,2022-04-25 11:56:58,0.746
24,50,103,SB-416,D572-40292-203,D200615830,20,1,0.563,0.563,0.563,0.518,0.518,0.518,0.045,0.045,0.045,2022-04-25 11:57:04,2022-04-25 13:23:23,1.439
24,50,103,SB-416,D572-40292-203,D200615820,20,1,0.572,0.572,0.572,0.519,0.519,0.519,0.052,0.052,0.052,2022-04-25 13:23:30,2022-04-25 14:13:57,0.841
24,50,103,SB-416,D572-40297-203,D200614250,20,1,0.611,0.611,0.611,0.475,0.475,0.475,0.136,0.136,0.136,2022-04-25 21:27:29,2022-04-25 22:30:31,1.051
21,47,108,SNK RB-200F(2060),182T5202-1A,D200583510,30,1,7.553,7.553,7.553,5.987,5.987,5.987,1.566,1.566,1.566,2022-04-25 08:47:05,2022-04-25 20:07:56,11.348
